"","treeName","accepted","author"
"1","Echinacea_purpurea","Echinacea purpurea","(L.) Moench"
"2","Echinacea_pallida","Echinacea pallida","(Nutt.) Nutt."
"3","Asclepias_tuberosa","Asclepias tuberosa","L."
"4","Asclepias_syriaca","Asclepias syriaca","L."
"5","Coreopsis_tripteris","Coreopsis tripteris","L."
"6","Coreopsis_lanceolata","Coreopsis lanceolata","L."
"7","Symphyotrichum_novae-angliae","Symphyotrichum novae-angliae","(L.) G.L.Nesom"
"8","Symphyotrichum_leave","Symphyotrichum laeve","(L.) Á.Löve & D.Löve"
"9","Penstemon_digitalis","Penstemon digitalis","Nutt. ex Sims"
"10","Penstemon_hirsutus","Penstemon hirsutus","(L.) Willd."
"11","Agastache_nepetoides","Agastache nepetoides","(L.) Kuntze"
"12","Monarda_fistulosa","Monarda fistulosa","L."
"13","Chamaecrista_fasciculata","Chamaecrista fasciculata","(Michx.) Greene"
"14","Dalea_candida","Dalea candida","Willd."
"15","Dalea_purpurea","Dalea purpurea","Vent."
"16","Pycnanthemum_virginianum","Pycnanthemum virginianum","(L.) T.Durand & B.D.Jacks. ex B.L.Rob. & Fernald"
"17","Trandescantia_ohiensis","Tradescantia ohiensis","Raf."
"18","Carex_bicknellii","Carex bicknellii","Britton & A.Br."
"19","Carex_brevior","Carex brevior","(Dewey) Mack. ex Lunell"
"20","Sporobolus_heterolepis","Sporobolus heterolepis","(A.Gray) A.Gray"
"21","Panicum_virgatum","Panicum virgatum","L."
"22","Schizachyrium_scoparium","Schizachyrium scoparium","(Michx.) Nash"
"23","Andropogon_gerardii","Andropogon gerardii","Vitman"
"24","Sorghastrum_nutans","Sorghastrum nutans","(L.) Nash"
